ID,parent_ID,ItemNumber,Material,Description,MaterialGroup,Plant,StorageLocation,Quantity,OrderUnit,NetPrice,PriceUnit,NetValue,TaxCode,TaxAmount,DeliveryDate,AccountAssignment,ItemCategory
b2000000-0000-4000-8000-000000000101,a1000000-0000-4000-8000-000000000001,10,RM-1001,Steel Sheet DC01 1.5mm,001,1010,0001,2500.000,KG,1.85,1,4625.00,V1,878.75,2026-06-22,,N
b2000000-0000-4000-8000-000000000102,a1000000-0000-4000-8000-000000000001,20,CP-2001,Ball Bearing 6205-2RS,002,1010,0001,120.000,EA,7.40,1,888.00,V1,168.72,2026-06-22,,N
b2000000-0000-4000-8000-000000000201,a1000000-0000-4000-8000-000000000002,10,CP-2003,Servo Motor 1FK7 3.0kW,002,1020,0002,12.000,EA,1249.00,1,14988.00,V1,2847.72,2026-07-01,,N
b2000000-0000-4000-8000-000000000202,a1000000-0000-4000-8000-000000000002,20,EL-3002,PLC Module DI 16-channel,003,1020,0002,40.000,EA,186.50,1,7460.00,V1,1417.40,2026-07-01,,N
b2000000-0000-4000-8000-000000000203,a1000000-0000-4000-8000-000000000002,30,EL-3001,Control Cabinet 800x600,003,1020,0002,3.000,EA,2480.00,1,7440.00,V1,1413.60,2026-07-01,,N
b2000000-0000-4000-8000-000000000301,a1000000-0000-4000-8000-000000000003,10,EL-3001,Control Cabinet 800x600,003,2010,0001,6.000,EA,2390.00,1,14340.00,V1,2868.00,2026-07-10,,N
b2000000-0000-4000-8000-000000000302,a1000000-0000-4000-8000-000000000003,20,EL-3002,PLC Module DI 16-channel,003,2010,0001,75.000,EA,181.20,1,13590.00,V1,2718.00,2026-07-10,,N
b2000000-0000-4000-8000-000000000401,a1000000-0000-4000-8000-000000000004,10,CP-2002,Hydraulic Cylinder 63/36-200,002,3010,0001,18.000,EA,864.00,1,15552.00,V1,3110.40,2026-07-30,,N
b2000000-0000-4000-8000-000000000501,a1000000-0000-4000-8000-000000000005,10,CP-2001,Ball Bearing 6205-2RS,002,1710,0003,480.000,EA,6.95,1,3336.00,V0,241.86,2026-07-28,,N
b2000000-0000-4000-8000-000000000502,a1000000-0000-4000-8000-000000000005,20,PK-4001,Pallet EUR 1200x800,004,1710,0003,150.000,EA,18.40,1,2760.00,V0,200.10,2026-07-28,,N
b2000000-0000-4000-8000-000000000503,a1000000-0000-4000-8000-000000000005,30,RM-1002,Aluminium Profile 40x40,001,1710,0003,900.000,M,4.15,1,3735.00,V0,270.79,2026-07-28,,N
b2000000-0000-4000-8000-000000000601,a1000000-0000-4000-8000-000000000006,10,RM-1001,Steel Sheet DC01 1.5mm,001,1010,0001,4200.000,KG,1.79,1,7518.00,V1,1428.42,2026-08-03,,N
b2000000-0000-4000-8000-000000000602,a1000000-0000-4000-8000-000000000006,20,RM-1002,Aluminium Profile 40x40,001,1010,0001,1350.000,M,3.98,1,5373.00,V1,1020.87,2026-08-03,,N
b2000000-0000-4000-8000-000000000701,a1000000-0000-4000-8000-000000000007,10,CP-2003,Servo Motor 1FK7 3.0kW,002,1020,0002,4.000,EA,1274.00,1,5096.00,V1,968.24,2026-08-04,,N
b2000000-0000-4000-8000-000000000801,a1000000-0000-4000-8000-000000000008,10,EL-3002,PLC Module DI 16-channel,003,2010,0001,110.000,EA,178.90,1,19679.00,V1,3935.80,2026-08-21,,N
b2000000-0000-4000-8000-000000000802,a1000000-0000-4000-8000-000000000008,20,CP-2001,Ball Bearing 6205-2RS,002,2010,0001,260.000,EA,7.10,1,1846.00,V1,369.20,2026-08-21,,N
b2000000-0000-4000-8000-000000000803,a1000000-0000-4000-8000-000000000008,30,PK-4001,Pallet EUR 1200x800,004,2010,0001,80.000,EA,17.85,1,1428.00,V1,285.60,2026-08-21,,N
b2000000-0000-4000-8000-000000000901,a1000000-0000-4000-8000-000000000009,10,CP-2002,Hydraulic Cylinder 63/36-200,002,3010,0001,9.000,EA,879.50,1,7915.50,V1,1583.10,2026-09-02,,N
b2000000-0000-4000-8000-000000000902,a1000000-0000-4000-8000-000000000009,20,CP-2001,Ball Bearing 6205-2RS,002,3010,0001,340.000,EA,5.88,1,1999.20,V1,399.84,2026-09-02,,N
b2000000-0000-4000-8000-000000001001,a1000000-0000-4000-8000-000000000010,10,EL-3001,Control Cabinet 800x600,003,1710,0003,5.000,EA,2615.00,1,13075.00,V0,947.94,2026-09-08,,N
b2000000-0000-4000-8000-000000001002,a1000000-0000-4000-8000-000000000010,20,RM-1002,Aluminium Profile 40x40,001,1710,0003,600.000,M,4.32,1,2592.00,V0,187.92,2026-09-08,,N
